DATASET_ROOT=Mujoco/raccoon_stack_v11_extension_120
NUM_EPISODES=120
SEED=20260615
MAX_ATTEMPTS=2400
OBJECT_X_RANGE=-0.10,0.10
OBJECT_Y_RANGE=0.135,0.180
[Attempt 0111] scene_id=000111 | episode_id=000109 | task_type='stack' | source='red' | base='green' | success=True | success_count=109/120 | pair_count=10/10
[Attempt 0112] scene_id=000112 | episode_id=000110 | task_type='stack' | source='green' | base='blue' | success=True | success_count=110/120 | pair_count=10/10
[Attempt 0113] scene_id=000113 | episode_id=000111 | task_type='stack' | source='yellow' | base='blue' | success=True | success_count=111/120 | pair_count=10/10
[Attempt 0114] scene_id=000114 | episode_id=000112 | task_type='stack' | source='blue' | base='red' | success=True | success_count=112/120 | pair_count=10/10
[Attempt 0115] scene_id=000115 | episode_id=000113 | task_type='stack' | source='red' | base='blue' | success=True | success_count=113/120 | pair_count=10/10
[Attempt 0116] scene_id=000116 | episode_id=000114 | task_type='stack' | source='yellow' | base='green' | success=True | success_count=114/120 | pair_count=10/10
[Attempt 0117] scene_id=000117 | episode_id=000115 | task_type='stack' | source='blue' | base='yellow' | success=True | success_count=115/120 | pair_count=10/10
[Attempt 0118] scene_id=000118 | episode_id=000116 | task_type='stack' | source='blue' | base='green' | success=True | success_count=116/120 | pair_count=10/10
[Attempt 0119] scene_id=000119 | episode_id=000117 | task_type='stack' | source='green' | base='yellow' | success=True | success_count=117/120 | pair_count=10/10
[Attempt 0120] scene_id=000120 | episode_id=000118 | task_type='stack' | source='red' | base='yellow' | success=True | success_count=118/120 | pair_count=10/10
[Attempt 0121] scene_id=000121 | episode_id=000119 | task_type='stack' | source='yellow' | base='red' | success=True | success_count=119/120 | pair_count=10/10
[Attempt 0122] scene_id=000122 | episode_id=000120 | task_type='stack' | source='green' | base='red' | success=True | success_count=120/120 | pair_count=10/10
